a_x,a_y,a_z,a_zz,delta_theta,theta_value,sql,T_H
-2.457365162,4.187936809,-0.455425697,1.034244543,0.1262846048,0.6,0.1,10
4.846495336,-1.384639214,3.131593458,-1.816008822,0.2090154143,0.6,0.1,10
2.992135222,1.007339189,-2.836443048,-0.8597390621,0.1688456164,0.6,0.1,10
-1.823643656,-4.218916069,-4.701652299,-1.535213446,0.3003269767,0.6,0.1,10
-4.809658522,-3.345122424,2.251833209,2.080912357,0.1251837604,0.6,0.1,10
2.385803865,-1.828468289,3.900194571,0.9383054803,0.1345472153,0.6,0.1,10
-3.739736583,-3.562813385,1.930954269,-3.270560636,0.3714846136,0.6,0.1,10
0.07292701582,4.917744759,-4.959923953,-4.834201981,0.04970512972,0.6,0.1,10
4.930845819,0.8463883413,-3.730900245,3.973021998,0.3889631635,0.6,0.1,10
3.803803001,0.3620041311,1.217920299,-2.268128085,0.08921568589,0.6,0.1,10
-4.494803036,0.9456760889,-2.052448068,1.636210467,0.2467357347,0.6,0.1,10
3.362451768,-4.818394561,0.9571377469,-2.687194603,0.1433868194,0.6,0.1,10
3.738884979,-2.463354934,1.107701332,0.5354084009,0.7884284398,0.6,0.1,10
-1.038334999,1.776207636,2.257696347,0.6693779532,0.1470459492,0.6,0.1,10
2.584222372,4.83417076,-0.807276121,0.1458305189,0.1146146058,0.6,0.1,10
-4.875301221,2.960285563,0.2023006705,-0.9203856964,0.08322308365,0.6,0.1,10
-4.059280369,3.896564217,-1.0499276,1.825815982,1.532950114,0.6,0.1,10
-3.506258436,4.615496295,-3.215582382,-3.004580071,0.0826878699,0.6,0.1,10
3.589828606,4.125827441,-2.878525925,-0.3019911183,0.1711002415,0.6,0.1,10
2.334949046,3.783657338,-1.20947305,0.1701948685,0.1754793765,0.6,0.1,10
2.417164105,2.311359767,2.8296013,0.6993381864,0.1210574063,0.6,0.1,10
-3.953849032,4.039732909,3.655725393,2.980974358,0.3154026753,0.6,0.1,10
-4.001375228,-2.956026329,2.436003651,-4.768599054,0.1122289609,0.6,0.1,10
